state,area,name,totalA,highA,totalB,highB,totalC,highC,totalD,highD,party,partyClass
서울,동대문구을,민병두,243538000,45000000,274801669,65000000,283737297,29000000,157650000,24500000,더불어민주당,minju
경남,김해시갑,민홍철,254903222,79000000,244462018,45000000,125010000,25000000,119462663,31000000,더불어민주당,minju
중앙,비례대표,박경미,59121000,14000000,80820018,10000000,113515351,15000000,152898100,24000000,더불어민주당,minju
경기,수원시정,박광온,300000000,55000000,298000000,59000000,299968000,93200000,149992436,45000000,더불어민주당,minju
인천,남동구갑,박남춘,303102360,83000000,238240083,79000000,,,,,더불어민주당,minju
대전,서구을,박범계,210649035,,241262666,25000000,242176418,27100000,150882571,13300000,더불어민주당,minju
대전,서구갑,박병석,271320000,65000000,178100000,54000000,154910010,45000000,128280434,44500000,더불어민주당,minju
서울,구로구을,박영선,305447944,46500000,237222903,25000000,272150732,48400000,78137244,20000000,더불어민주당,minju
충남,천안시을,박완주,300963900,75530000,237657168,30000000,275118823,39000000,149786004,44000000,더불어민주당,minju
서울,강북구을,박용진,150041054,30000000,305674308,49000000,313910550,25000000,156397196,25000000,더불어민주당,minju
부산,남구을,박재호,149962978,53830758,294432111,59000000,289910018,56100000,146767000,33900000,더불어민주당,minju
경기,파주시을,박정,33130539,5000000,94979982,,58255001,10000000,20610000,,더불어민주당,minju
서울,은평구갑,박주민,175012993,25000000,348580921,,321432825,,154367374,5000000,더불어민주당,minju
인천,연수구갑,박찬대,102919629,15000000,262040523,20000000,234424352,24400000,146047090,8500000,더불어민주당,minju
서울,중랑구을,박홍근,285665000,66900000,277728054,30000000,292070000,59000000,151244066,28300000,더불어민주당,minju
경기,광명시갑,백재현,206190000,30000000,298959458,20000000,227790054,20000000,113360000,19600000,더불어민주당,minju
경기,수원시을,백혜련,82937030,15000000,168770010,10000000,144223351,17200000,150804140,17200000,더불어민주당,minju
충북,청주시청원구,변재일,240440056,25000000,241554371,14700000,138490000,14600000,102980011,9600000,더불어민주당,minju
전남,영암군무안군신안군,서삼석,,,,,150933000,20000000,153909000,24000000,더불어민주당,minju
서울,중랑구갑,서영교,229623330,27100000,133637018,8600000,208709560,35900000,135546198,21800000,더불어민주당,minju
경남,양산시을,서형수,64297000,15000000,206412645,70000000,134250000,54000000,-,,더불어민주당,minju
경기,부천시원미구을,설훈,283091177,29000000,309160008,52600000,308580044,50000000,149474166,20000000,더불어민주당,minju
경기,광주시갑,소병훈,108910000,49000000,151767000,32100000,177480000,48000000,167500126,53000000,더불어민주당,minju
전남,나주시화순군,손금주,127348000,25000000,285632118,35000000,153164000,10000000,119334000,13300000,더불어민주당,minju
광주,서구갑,송갑석,,,,,144160000,15000000,149229943,30000000,더불어민주당,minju
강원,원주시을,송기헌,112672403,33000000,145311160,18200000,127522000,10000000,132095018,13200000,더불어민주당,minju
인천,계양구을,송영길,126834036,64500000,304631378,79950000,300000378,124000000,150536486,40000000,더불어민주당,minju
중앙,비례대표,송옥주,29530000,,155104000,,136524210,15600210,125298000,5000000,더불어민주당,minju
서울,영등포구을,신경민,149383104,10000000,111783594,10000000,109645000,15000000,81768100,5000000,더불어민주당,minju
인천,서구을,신동근,88070022,30000000,175699018,19000000,237115000,38000000,151240000,15000000,더불어민주당,minju
경기,의왕시과천시,신창현,104240000,59000000,147740008,15000000,151388190,30000000,141461360,25000000,더불어시민당,minju
중앙,비례대표,심기준,,,119256713,25000000,73794000,15000000,65482000,10000000,더불어시민당,minju
서울,강동구을,심재권,81471140,4000000,56170700,5000000,58770100,,53740010,,더불어민주당,minju
서울,동대문구갑,안규백,258960000,55700000,306345000,93500000,312169756,152636756,149851489,42647491,더불어민주당,minju
경기,오산시,안민석,296487090,160000000,301723381,119100000,303033851,123500000,152818357,67500000,더불어민주당,minju
전북,완주군진안군무주군장수군,안호영,148945000,40000000,299080010,59500000,291942100,34000000,153497000,10000000,더불어민주당,minju
충남,천안시병,양승조,306637100,38700000,304566118,56700000,,,,,더불어민주당,minju
충남,당진시,어기구,160410010,35000000,275615789,19450000,237397000,32500000,151681521,35000000,더불어민주당,minju
제주,제주시을,오영훈,142455001,15000000,236819055,9000000,232196911,,152407900,5000000,더불어민주당,minju
충북,청주시서원구,오제세,293366164,28000000,271146406,10000000,263061372,28000000,145310174,27000000,더불어민주당,minju
서울,서대문구갑,우상호,302470218,75000000,215830273,14200000,299930000,43500000,147865000,27300000,더불어민주당,minju
서울,노원구을,우원식,301306001,76436000,301058137,33753000,298642191,45000000,151065000,5000000,더불어민주당,minju
경기,부천시오정구,원혜영,295170000,84000000,162630001,46600000,223010000,54000000,130141214,35000000,더불어민주당,minju
제주,서귀포시,위성곤,173140010,35000000,293609518,15000000,252692911,,154093337,14000000,더불어민주당,minju
인천,계양구갑,유동수,152390000,30000000,264240018,52600000,272472500,50450000,145041100,29200000,더불어민주당,minju
서울,성북구갑,유승희,208567744,34000000,333425072,37500000,221841702,14000000,163973018,17500000,더불어민주당,minju
경기,고양시병,유은혜,304219574,49600000,304229602,66850000,186695612,25000000,119579208,8300000,더불어민주당,minju
인천,남동구을,윤관석,163818000,17400000,225240036,30000000,300561000,60000000,150111036,30000000,더불어민주당,minju
충남,천안시병,윤일규,,,,,89895200,10000000,148255000,40000000,더불어시민당,minju
부산,해운대구을,윤준호,,,,,149968000,70000000,150220000,23600000,더불어민주당,minju
경기,구리시,윤호중,118641915,14000000,159034878,47600000,112085415,27600000,122730054,30000000,더불어민주당,minju
경기,파주시갑,윤후덕,284122600,23400000,167400000,,174053018,,141853005,3400000,더불어민주당,minju
전남,담양군함평군영광군장성군,이개호,299500020,68800000,298880001,34000000,298354055,18100000,149996500,10000000,더불어민주당,minju
충남,천안시갑,이규희,,,,,68110000,5000000,43746000,4000000,더불어시민당,minju
대전,유성구을,이상민,124117010,10000000,55786601,10000000,47250000,,37881700,,더불어민주당,minju
울산,북구,이상헌,,,,,56244000,9000000,93727670,40000000,더불어민주당,minju
경기,안양시동안구갑,이석현,277599000,56000000,212810000,52600000,200564000,38300000,154232036,18600000,더불어민주당,minju
중앙,비례대표,이수혁,,,37340000,20000000,96695000,34000000,,5000000,더불어민주당,minju
중앙,비례대표,이용득,151670088,10000000,150950089,,149652089,,149785036,,더불어민주당,minju
경기,화성시을,이원욱,297488777,60000000,298780010,58300000,229780673,18900000,155984989,8600000,더불어민주당,minju
서울,구로구갑,이인영,243491004,56780000,127168020,5000000,139600000,5000000,150714719,4000000,더불어민주당,minju
중앙,비례대표,이재정,135987306,,114104359,,111709496,,149833236,5000000,더불어민주당,minju
경기,안양시만안구,이종걸,301115130,29266710,253148147,29950000,261115189,20000000,154441004,9500000,더불어시민당,minju
중앙,비례대표,이철희,139563863,15000000,151050060,35000000,153020078,45000000,62833456,15000000,더불어민주당,minju
전북,익산시갑,이춘석,166170021,19100000,271715000,33939000,211180000,15000000,150000000,,더불어민주당,minju
경기,군포시을,이학영,262968681,,295607008,7600000,217438214,8600000,107701037,5000000,더불어민주당,minju
세종,세종특별자치시,이해찬,285869329,67900000,191708392,94954712,317218751,159500000,71928641,24300000,더불어민주당,minju
충북,제천시단양군,이후삼,,,,,149040000,28000000,150207204,44000000,더불어민주당,minju
서울,금천구,이훈,117440000,39000000,223126010,9000000,181031007,5000000,151420000,15000000,더불어시민당,minju
서울,도봉구갑,인재근,232567000,5000000,239044984,,104450018,15000000,109770000,5000000,더불어민주당,minju
경기,광주시을,임종성,130419000,54000000,238735000,42000000,288125000,55000000,152079347,38000000,더불어민주당,minju
부산,북구강서구갑,전재수,151924456,19000000,303257114,52600000,309184742,87100000,152569760,29000000,더불어민주당,minju
경기,안산시상록구갑,전해철,305772267,48900000,298442278,65000000,286422719,54000000,149845036,14000000,더불어민주당,minju
서울,강남구을,전현희,65515010,22100000,245517958,34000000,116050054,20000000,135219755,4900000,더불어민주당,minju
서울,광진구갑,전혜숙,136409000,3100000,248690018,37200000,263307500,40000000,151668126,25000000,더불어민주당,minju
경기,양주시,정성호,224690004,49000000,299730000,99000000,299970000,91900000,149771000,33010000,더불어민주당,minju
서울,종로구,정세균,300319369,110000000,150576562,10000000,301156000,85000000,151063000,35000000,더불어민주당,minju
중앙,비례대표,정은혜,,#N/A,,#N/A,,#N/A,21960422,#N/A,더불어시민당,minju
경기,고양시을,정재호,146557000,65000000,301533702,38600000,290141702,37300000,138722001,5000000,더불어민주당,minju
중앙,비례대표,정춘숙,141840060,4000000,126950369,,155880818,9000000,141548930,20000000,더불어민주당,minju
중앙,비례대표,제윤경,154673999,19000000,138361588,5000000,129039000,5000000,74113000,5000000,더불어시민당,minju
대전,유성구갑,조승래,152589999,87000000,300287841,73000000,300718178,69000000,150048179,33800000,더불어민주당,minju
경기,남양주시갑,조응천,157369999,50000000,208792022,25000000,149463154,19000000,149900433,30000000,더불어민주당,minju
경기,시흥시을,조정식,298938036,57550000,301450001,52600000,199620145,40000000,149490000,29500000,더불어민주당,minju
서울,강동구갑,진선미,292481702,28000000,238085911,14000000,143492613,41996000,155794318,53576000,더불어민주당,minju
서울,용산구,진영,47180000,9900000,37950000,,30200000,,10049000,,더불어민주당,minju
중앙,비례대표,최운열,150320000,15000000,150370002,10000000,150740002,15000000,64340002,5000000,더불어민주당,minju
부산,사하구갑,최인호,150975000,40000000,300831111,,283711494,28600000,148876018,5000000,더불어민주당,minju
서울,송파구을,최재성,,,,,150000000,75000000,127639000,14000000,더불어민주당,minju
서울,광진구을,추미애,292050540,20000000,217779947,24000000,167398528,29000000,85844040,18300000,더불어민주당,minju
경기,용인시정,표창원,156626333,15000000,211898324,,83351162,,71032770,,더불어민주당,minju
서울,강서구병,한정애,313294000,20000000,323225112,30000000,320665000,25000000,153893018,20000000,더불어민주당,minju
인천,부평구을,홍영표,295911004,62300000,285614090,33800000,263228501,23600000,149360623,14400000,더불어민주당,minju
대구,북구을,홍의락,128070000,20000000,231700112,18000000,211723547,15000000,126513000,15000000,더불어민주당,minju
서울,중구성동구갑,홍익표,137260107,30000000,186264604,36400000,164304313,53000000,138568450,30000000,더불어민주당,minju
서울,양천구갑,황희,166729688,38729000,319870688,89900000,279966700,114100000,148227968,30000000,더불어민주당,minju
울산,울주군,강길부,115810000,40000000,86146000,10000000,87810000,15000000,34670000,,무소속,non
광주,북구갑,김경진,150526769,25000000,298521016,49000000,268506546,54000000,150920718,13200000,무소속,non
전북,김제시부안군,김종회,122380018,28300000,182309018,45000000,212961000,37030000,110746000,29600000,무소속,non
경기,의정부시갑,문희상,152310015,50000000,88230000,20000000,105530054,29500000,101215073,25000000,무소속,non
전남,목포시,박지원,301343159,99000000,301335864,140000000,307886864,174000000,155016682,75000000,민생당,minsaeng
경기,화성시갑,서청원,300000000,200000000,114320072,60000000,88190000,25000000,66800000,43100000,우리공화당,woori
서울,마포구을,손혜원,243310856,25000000,210338244,40000000,175626298,44900000,167811231,5000000,열린민주당,non
전북,정읍시고창군,유성엽,299914210,43500000,297530000,34500000,232170080,22000000,161812641,19500000,민생당,minsaeng
전남,해남군완도군진도군,윤영일,151240054,25000000,213843472,14000000,150390000,13300000,93660162,8600000,민생당,minsaeng
울산,북구,윤종오,152150000,#N/A,131885000,#N/A,,#N/A,,#N/A,무소속,non
경기,광명시을,이언주,224879357,85600000,119445962,25000000,188706351,18500000,173295658,15000000,미래통합당,mirae
전남,여수시갑,이용주,79080000,34000000,107532046,10000000,94528710,15000000,83120037,,무소속,non
전북,남원시임실군순창군,이용호,86330036,20000000,149500226,24800000,148950000,29800000,155130030,13800000,무소속,non
전남,순천시,이정현,295966109,45000000,20300018,5000000,32060000,5000000,32700000,10000000,무소속,non
광주,동구남구갑,장병완,302140000,74900000,282520036,54000000,240250118,50000000,150304545,25000000,민생당,minsaeng
전남,광양시곡성군구례군,정인화,171400036,5000000,232029558,24000000,158278000,10000000,130982000,5000000,무소속,non
광주,서구을,천정배,180721141,25000000,125220000,5000000,125150000,14000000,65649000,,민생당,minsaeng
광주,북구을,최경환,150000000,20000000,228863418,20000000,197453100,34700000,113030020,,민생당,minsaeng
경북,경산시,최경환,290510000,90000000,115951022,25000000,33110000,10000000,,10000000,무소속,non
전북,전주시갑,김광수,148763018,25000000,172211091,15000000,193225524,34000000,154374022,5000000,무소속,non
전북,전주시병,정동영,158926008,35000000,294488731,41800000,309874572,51800000,157899701,44000000,민생당,minsaeng
